Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
2015,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore City, Maryland","115,160",,"115,160",,
2015,Work Experience by Education,Not Working,GED,"Baltimore City, Maryland","21,849",,"21,849",,
2015,Work Experience by Education,Not Working,Some College,"Baltimore City, Maryland","20,943",,"20,943",,
2015,Work Experience by Education,Not Working,1 or more,"Baltimore City, Maryland","63,251",,"63,251",,
2015,Work Experience by Education,Not Working,Associate,"Baltimore City, Maryland","12,466",,"12,466",,
2015,Work Experience by Education,Not Working,Bachlor's,"Baltimore City, Maryland","27,629",,"27,629",,
2015,Work Experience by Education,Not Working,Master's,"Baltimore City, Maryland","12,398",,"12,398",,
2015,Work Experience by Education,Not Working,Professional,"Baltimore City, Maryland","2,753",,"2,753",,
2015,Work Experience by Education,Not Working,Doctoral,"Baltimore City, Maryland","2,496",,"2,496",,
2015,Work Experience by Education,Part Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,No School,"Baltimore City, Maryland","1,154",,"1,154",,
2015,Work Experience by Education,Part Time,Nursery,"Baltimore City, Maryland",10,,10,,
2015,Work Experience by Education,Part Time,Kindergarten,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 1,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 2,"Baltimore City, Maryland",40,,40,,
2015,Work Experience by Education,Part Time,Grade 3,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 4,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 5,"Baltimore City, Maryland",253,,253,,
2015,Work Experience by Education,Part Time,Grade 6,"Baltimore City, Maryland",181,,181,,
2015,Work Experience by Education,Part Time,Grade 7,"Baltimore City, Maryland",168,,168,,
2015,Work Experience by Education,Part Time,Grade 8,"Baltimore City, Maryland","1,013",,"1,013",,
2015,Work Experience by Education,Part Time,Grade 9,"Baltimore City, Maryland","1,494",,"1,494",,
2015,Work Experience by Education,Part Time,Grade 10,"Baltimore City, Maryland","3,873",,"3,873",,
2015,Work Experience by Education,Part Time,Grade 11,"Baltimore City, Maryland","3,577",,"3,577",,
2015,Work Experience by Education,Part Time,Grade 12,"Baltimore City, Maryland","1,582",,"1,582",,
2015,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore City, Maryland","19,930",,"19,930",,
2015,Work Experience by Education,Part Time,GED,"Baltimore City, Maryland","3,375",,"3,375",,
2015,Work Experience by Education,Part Time,Some College,"Baltimore City, Maryland","7,197",,"7,197",,
2015,Work Experience by Education,Part Time,1 or more,"Baltimore City, Maryland","21,302",,"21,302",,
2015,Work Experience by Education,Part Time,Associate,"Baltimore City, Maryland","3,171",,"3,171",,
2015,Work Experience by Education,Part Time,Bachlor's,"Baltimore City, Maryland","14,048",,"14,048",,
2015,Work Experience by Education,Part Time,Master's,"Baltimore City, Maryland","6,394",,"6,394",,
2015,Work Experience by Education,Part Time,Professional,"Baltimore City, Maryland","1,467",,"1,467",,
2015,Work Experience by Education,Part Time,Doctoral,"Baltimore City, Maryland",672,,672,,
2015,Work Experience by Education,Full Time,N/A,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Full Time,No School,"Baltimore City, Maryland","3,345",,"3,345",,
2015,Work Experience by Education,Full Time,Nursery,"Baltimore City, Maryland",142,,142,,
2015,Work Experience by Education,Full Time,Kindergarten,"Baltimore City, Maryland",0,, -   ,,
2015,Work Experience by Education,Full Time,Grade 1,"Baltimore City, Maryland",415,,415,,
2015,Work Experience by Education,Full Time,Grade 2,"Baltimore City, Maryland",155,,155,,
2015,Work Experience by Education,Full Time,Grade 3,"Baltimore City, Maryland",340,,340,,
2015,Work Experience by Education,Full Time,Grade 4,"Baltimore City, Maryland",261,,261,,
2015,Work Experience by Education,Full Time,Grade 5,"Baltimore City, Maryland",334,,334,,
2015,Work Experience by Education,Full Time,Grade 6,"Baltimore City, Maryland","1,806",,"1,806",,
2015,Work Experience by Education,Full Time,Grade 7,"Baltimore City, Maryland","1,267",,"1,267",,
2015,Work Experience by Education,Full Time,Grade 8,"Baltimore City, Maryland","3,698",,"3,698",,
