Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
LAUS,"Aug
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.5,0.035,100,,3.5,,
LAUS,"Sep
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3,0.03,100,,3,,
LAUS,"Oct
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.3,0.033,100,,3.3,,
LAUS,"Nov
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.5,0.035,100,,3.5,,
LAUS,"Dec
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.1,0.031,100,,3.1,,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Accommodation and food services,,26519,,,,"26,519",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Administrative and waste services,,14201,,,,"14,201",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,"Agriculture, forestry, fishing and hunting",,119,,,,119,,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,"Arts, entertainment, and recreation",,6288,,,,"6,288",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Construction,,14931,,,,"14,931",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Educational services,,18314,,,,"18,314",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Finance and insurance,,5731,,,,"5,731",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Health care and social assistance,,26908,,,,"26,908",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Information,,2568,,,,"2,568",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Management of companies and enterprises,,2637,,,,"2,637",,
QCEW,2013,"Anne Arundel County, Maryland",Employment by Industry Annual Average,Manufacturing,,12225,,,,"12,225",,
