Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Management of companies and enterprises,,114,,,,114,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Manufacturing,,364,,,,364,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,"Mining, quarrying, and oil and gas extraction",,19,,,,19,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,"Other services, except public administration",,-13,,,,-13,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Professional and technical services,,1244,,,,"1,244",,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Public administration,,67,,,,67,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Real estate and rental and leasing,,1,,,,1,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Retail trade,,913,,,,913,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Transportation and warehousing,,1137,,,,"1,137",,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Utilities,,5,,,,5,,
QCEW,2016,"Anne Arundel County, Maryland",Over-the-Year Employment Change by Industry,Wholesale trade,,-242,,,,-242,,
Administrative Data from TANF and MD Wage Records,2017Q1,"Anne Arundel County, Maryland",Number of TANF Recipient Workers,,Employed,229,,,,229,,
Administrative Data from TANF and MD Wage Records,2017Q2,"Anne Arundel County, Maryland",Number of TANF Recipient Workers,,Employed,262,,,,262,,
Administrative Data from TANF and Workforce Records,2017Q1,"Anne Arundel County, Maryland",Percentage of Workforce Training Program/Service Participants in TANF,,Employed,0.022565321,,,0.022565321,2.30%,,
Administrative Data from TANF and Workforce Records,2017Q2,"Anne Arundel County, Maryland",Percentage of Workforce Training Program/Service Participants in TANF,,Employed,0.018027041,,,0.018027041,1.80%,,
Administrative Data from TANF and MD Wage Records,2016Q3,"Anne Arundel County, Maryland",Percentage of TANF Recipients among Maryland Workers,,Employed,0.001040828,,,0.001040828,0.10%,,
Administrative Data from TANF and MD Wage Records,2016Q4,"Anne Arundel County, Maryland",Percentage of TANF Recipients among Maryland Workers,,Employed,0.001019136,,,0.001019136,0.10%,,
Administrative Data from TANF and MD Wage Records,2017Q1,"Anne Arundel County, Maryland",Percentage of TANF Recipients among Maryland Workers,,Employed,0.000856312,,,0.000856312,0.09%,,
Administrative Data from TANF and MD Wage Records,2017Q2,"Anne Arundel County, Maryland",Percentage of TANF Recipients among Maryland Workers,,Employed,0.00097724,,,0.00097724,0.10%,,
